labels,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread Group:http://127.0.0.1:8888/settings,200,136925,13468,27369,1160462,2863030,459,2874789,0.00%,0.06383,0.09,0.04
Thread Group:http://127.0.0.1:8888/load-public-indexes,100,127501,9664,71969,402317,2872536,14,2872677,0.00%,0.03369,0.01,0.01
Thread Group:http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,48734,20960,73971,246506,542902,50,542920,0.00%,0.05428,0.04,0.02
Thread Group:http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,100,73701,7061,104553,244427,516201,96,2872531,0.00%,0.03271,0,0.01
Thread Group:http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,100,27330,10206,66261,87326,251532,61,338968,0.00%,0.03245,0.01,0.01
Thread Group:http://127.0.0.1:8888/public-index,100,22663,6328,50425,61575,246485,83,374027,0.00%,0.03215,0.01,0.01
Thread Group:http://127.0.0.1:8888/default-interests,100,6478,415,18341,24062,32345,28,142949,0.00%,0.032,0.01,0.01
Thread Group:http://127.0.0.1:8888/folders?page=1&limit=54&status=0&search=,200,38861,14464,66790,74775,102501,17,2856331,0.00%,0.05419,0.04,0.02
Thread Group:http://127.0.0.1:8888/folders/details?page=1&limit=25&search=,100,56860,13559,72058,103370,125921,261,2872519,0.00%,0.03172,0.91,0.02
Thread Group:http://127.0.0.1:8888/folders/delete,100,47263,30828,100704,118323,274355,1349,341334,100.00%,0.03161,0.01,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=Boat&content_type=all&search_type=public&sort=modified_at,100,112234,62871,127897,149921,1871394,4137,2872492,0.00%,0.03121,0.54,0.01
Thread Group:http://127.0.0.1:8888/public-stats,100,80223,70042,127396,161647,360387,435,365949,0.00%,0.03073,0.01,0.01
Thread Group:http://127.0.0.1:8888/files-stats,100,86446,72300,136849,271216,337254,2071,427019,0.00%,0.03061,0.01,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=all&search_type=public&sort=modified_at,200,58520,35989,105121,229278,407889,1483,561774,0.00%,0.05465,0.71,0.02
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=videos&search_type=public&sort=modified_at,100,79333,50415,172732,285175,451317,5305,509936,0.00%,0.03026,0.36,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=docs&search_type=public&sort=modified_at,100,69521,50375,89962,278041,329866,2361,364169,0.00%,0.02998,0.47,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=transcriptions&search_type=public&sort=modified_at,100,64854,48183,100904,199149,341542,601,542955,0.00%,0.03001,0.35,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=images&search_type=public&sort=modified_at,100,54742,46961,92016,103135,329186,2240,374020,0.00%,0.03001,0.35,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=all&search_type=local&sort=modified_at,100,55866,46247,115864,135296,206912,1997,370344,0.00%,0.0301,0.25,0.01
Thread Group:http://127.0.0.1:8888/files/edit,100,80854,45320,233422,262896,332334,1972,332392,0.00%,0.03001,0,0.02
Thread Group:http://127.0.0.1:8888/bookmarks,100,138576,69203,338811,342607,437932,5327,1907863,0.00%,0.02949,0,0.02
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=%20Transportable%20Port%20Security%20Boat&content_type=all&search_type=public&sort=modified_at,100,183484,102121,350606,399809,493607,11083,1907983,0.00%,0.02866,0.48,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=Thekkady%20boat%20disaster&content_type=all&search_type=public&sort=modified_at,100,233433,197856,371140,471559,1886480,12229,1919480,0.00%,0.02848,0.11,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=all&search_type=public&sort=modified_at,100,185609,100804,382911,428706,656371,11553,820437,0.00%,0.02925,0.49,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=images&search_type=public&sort=modified_at,100,139708,54741,364971,407864,550874,461,555418,0.00%,0.03014,0,0.01
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=transcriptions&search_type=public&sort=modified_at,100,104600,42366,329195,368741,550760,164,910632,0.00%,0.03063,0,0.01
Thread Group:http://127.0.0.1:8888/orbitdb-received-request-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,100,56865,32406,122785,166045,349272,93,458664,0.00%,0.03109,0,0.01
Thread Group:http://127.0.0.1:8888/public-index/bafkreicce5hmi2urus6qxs5abjckkliqvawfiqr4u7l2ndn3n7jyrubs7e,100,65989,44945,102066,146232,439833,210,480221,0.00%,0.03171,0.01,0.02
Thread Group:http://127.0.0.1:8888/bookmarks/delete,100,43939,35994,78284,113333,156894,48,402374,100.00%,0.03275,0.01,0.01
Thread Group:http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=images&search=&start_date=&end_date=,100,46900,32272,70938,106619,347954,53,347967,0.00%,0.03316,0,0.01
Thread Group:http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=videos&search=&start_date=&end_date=,100,52157,40253,73389,111027,347933,114,347942,0.00%,0.03366,0,0.01
Thread Group:http://127.0.0.1:8888/folders/details?page=1&limit=25&search=1,100,54273,42285,78623,119226,378991,82,440773,0.00%,0.03418,0.64,0.02
Thread Group:http://127.0.0.1:8888/folders/details?page=1&limit=25&search=19,100,48476,31687,83075,125713,307191,35,345654,0.00%,0.03458,0.15,0.02
Thread Group:http://127.0.0.1:8888/folders/details?page=1&limit=25&search=197,100,52126,33590,74745,108817,295812,42,999204,0.00%,0.03626,0.16,0.02
Thread Group:http://127.0.0.1:8888/folders/details?page=1&limit=25&search=1970,100,41409,29789,73689,81695,360366,23,493637,0.00%,0.04008,0.17,0.02
TOTAL,3900,78449,35867,180988,323574,538937,14,2874789,5.13%,1.0554,5.67,0.49
