Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://127.0.0.1:8888/settings,200,136925,459,2874789,544072.59,0.000%,.06383,0.09,0.04,1420.0
http://127.0.0.1:8888/load-public-indexes,100,127501,14,2872677,503296.01,0.000%,.03369,0.01,0.01,158.0
http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,48734,50,542920,97719.05,0.000%,.05428,0.04,0.02,731.0
http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,100,73701,96,2872531,297346.58,0.000%,.03271,0.00,0.01,149.0
http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,100,27330,61,338968,46541.36,0.000%,.03245,0.01,0.01,397.9
http://127.0.0.1:8888/public-index,100,22663,83,374027,46505.92,0.000%,.03215,0.01,0.01,168.0
http://127.0.0.1:8888/default-interests,100,6478,28,142949,15834.62,0.000%,.03200,0.01,0.01,318.0
http://127.0.0.1:8888/folders?page=1&limit=54&status=0&search=,200,38861,17,2856331,202313.94,0.000%,.05419,0.04,0.02,733.0
http://127.0.0.1:8888/folders/details?page=1&limit=25&search=,100,56860,261,2872519,284543.46,0.000%,.03172,0.91,0.02,29420.0
http://127.0.0.1:8888/folders/delete,100,47263,1349,341334,54386.49,100.000%,.03161,0.01,0.01,224.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=Boat&content_type=all&search_type=public&sort=modified_at,100,112234,4137,2872492,333650.88,0.000%,.03121,0.54,0.01,17694.0
http://127.0.0.1:8888/public-stats,100,80223,435,365949,67842.34,0.000%,.03073,0.01,0.01,392.0
http://127.0.0.1:8888/files-stats,100,86446,2071,427019,76736.58,0.000%,.03061,0.01,0.01,304.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=all&search_type=public&sort=modified_at,200,58520,1483,561774,81718.23,0.000%,.05465,0.71,0.02,13242.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=videos&search_type=public&sort=modified_at,100,79333,5305,509936,91819.74,0.000%,.03026,0.36,0.01,12050.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=docs&search_type=public&sort=modified_at,100,69521,2361,364169,72198.96,0.000%,.02998,0.47,0.01,16182.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=transcriptions&search_type=public&sort=modified_at,100,64854,601,542955,77851.79,0.000%,.03001,0.35,0.01,12077.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=images&search_type=public&sort=modified_at,100,54742,2240,374020,54275.50,0.000%,.03001,0.35,0.01,12039.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=all&search_type=local&sort=modified_at,100,55866,1997,370344,51788.97,0.000%,.03010,0.25,0.01,8471.0
http://127.0.0.1:8888/files/edit,100,80854,1972,332392,85347.91,0.000%,.03001,0.00,0.02,166.0
http://127.0.0.1:8888/bookmarks,100,138576,5327,1907863,212437.87,0.000%,.02949,0.00,0.02,133.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=%20Transportable%20Port%20Security%20Boat&content_type=all&search_type=public&sort=modified_at,100,183484,11083,1907983,216424.25,0.000%,.02866,0.48,0.01,17165.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=Thekkady%20boat%20disaster&content_type=all&search_type=public&sort=modified_at,100,233433,12229,1919480,278116.83,0.000%,.02848,0.11,0.01,3936.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=all&search_type=public&sort=modified_at,100,185609,11553,820437,161963.02,0.000%,.02925,0.49,0.01,17064.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=images&search_type=public&sort=modified_at,100,139708,461,555418,150324.43,0.000%,.03014,0.00,0.01,149.0
http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=transcriptions&search_type=public&sort=modified_at,100,104600,164,910632,148260.17,0.000%,.03063,0.00,0.01,149.0
http://127.0.0.1:8888/orbitdb-received-request-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,100,56865,93,458664,74975.29,0.000%,.03109,0.00,0.01,149.0
http://127.0.0.1:8888/public-index/bafkreicce5hmi2urus6qxs5abjckkliqvawfiqr4u7l2ndn3n7jyrubs7e,100,65989,210,480221,80782.88,0.000%,.03171,0.01,0.02,174.0
http://127.0.0.1:8888/bookmarks/delete,100,43939,48,402374,49466.64,100.000%,.03275,0.01,0.01,224.0
http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=images&search=&start_date=&end_date=,100,46900,53,347967,64376.08,0.000%,.03316,0.00,0.01,149.0
http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=videos&search=&start_date=&end_date=,100,52157,114,347942,59773.92,0.000%,.03366,0.00,0.01,149.0
http://127.0.0.1:8888/folders/details?page=1&limit=25&search=1,100,54273,82,440773,66347.84,0.000%,.03418,0.64,0.02,19248.0
http://127.0.0.1:8888/folders/details?page=1&limit=25&search=19,100,48476,35,345654,57686.68,0.000%,.03458,0.15,0.02,4428.0
http://127.0.0.1:8888/folders/details?page=1&limit=25&search=197,100,52126,42,999204,106070.19,0.000%,.03626,0.16,0.02,4428.0
http://127.0.0.1:8888/folders/details?page=1&limit=25&search=1970,100,41409,23,493637,67511.13,0.000%,.04008,0.17,0.02,4428.0
TOTAL,3900,78449,14,2874789,206836.39,5.128%,1.05540,5.67,0.49,5498.3
